class_id,class_name,intro_session,0:Black footed Albatross,1:Laysan Albatross,2:Sooty Albatross,3:Groove billed Ani,4:Crested Auklet,5:Least Auklet,6:Parakeet Auklet,7:Rhinoceros Auklet,8:Brewer Blackbird,9:Red winged Blackbird,10:Rusty Blackbird,11:Yellow headed Blackbird,12:Bobolink,13:Indigo Bunting,14:Lazuli Bunting,15:Painted Bunting,16:Cardinal,17:Spotted Catbird,18:Gray Catbird,19:Yellow breasted Chat,20:Eastern Towhee,21:Chuck will Widow,22:Brandt Cormorant,23:Red faced Cormorant,24:Pelagic Cormorant,25:Bronzed Cowbird,26:Shiny Cowbird,27:Brown Creeper,28:American Crow,29:Fish Crow,30:Black billed Cuckoo,31:Mangrove Cuckoo,32:Yellow billed Cuckoo,33:Gray crowned Rosy Finch,34:Purple Finch,35:Northern Flicker,36:Acadian Flycatcher,37:Great Crested Flycatcher,38:Least Flycatcher,39:Olive sided Flycatcher,40:Scissor tailed Flycatcher,41:Vermilion Flycatcher,42:Yellow bellied Flycatcher,43:Frigatebird,44:Northern Fulmar,45:Gadwall,46:American Goldfinch,47:European Goldfinch,48:Boat tailed Grackle,49:Eared Grebe,50:Horned Grebe,51:Pied billed Grebe,52:Western Grebe,53:Blue Grosbeak,54:Evening Grosbeak,55:Pine Grosbeak,56:Rose breasted Grosbeak,57:Pigeon Guillemot,58:California Gull,59:Glaucous winged Gull,60:Heermann Gull,61:Herring Gull,62:Ivory Gull,63:Ring billed Gull,64:Slaty backed Gull,65:Western Gull,66:Anna Hummingbird,67:Ruby throated Hummingbird,68:Rufous Hummingbird,69:Green Violetear,70:Long tailed Jaeger,71:Pomarine Jaeger,72:Blue Jay,73:Florida Jay,74:Green Jay,75:Dark eyed Junco,76:Tropical Kingbird,77:Gray Kingbird,78:Belted Kingfisher,79:Green Kingfisher,80:Pied Kingfisher,81:Ringed Kingfisher,82:White breasted Kingfisher,83:Red legged Kittiwake,84:Horned Lark,85:Pacific Loon,86:Mallard,87:Western Meadowlark,88:Hooded Merganser,89:Red breasted Merganser,90:Mockingbird,91:Nighthawk,92:Clark Nutcracker,93:White breasted Nuthatch,94:Baltimore Oriole,95:Hooded Oriole,96:Orchard Oriole,97:Scott Oriole,98:Ovenbird,99:Brown Pelican,100:White Pelican,101:Western Wood Pewee,102:Sayornis,103:American Pipit,104:Whip poor Will,105:Horned Puffin,106:Common Raven,107:White necked Raven,108:American Redstart,109:Geococcyx,110:Loggerhead Shrike,111:Great Grey Shrike,112:Baird Sparrow,113:Black throated Sparrow,114:Brewer Sparrow,115:Chipping Sparrow,116:Clay colored Sparrow,117:House Sparrow,118:Field Sparrow,119:Fox Sparrow,120:Grasshopper Sparrow,121:Harris Sparrow,122:Henslow Sparrow,123:Le Conte Sparrow,124:Lincoln Sparrow,125:Nelson Sharp tailed Sparrow,126:Savannah Sparrow,127:Seaside Sparrow,128:Song Sparrow,129:Tree Sparrow,130:Vesper Sparrow,131:White crowned Sparrow,132:White throated Sparrow,133:Cape Glossy Starling,134:Bank Swallow,135:Barn Swallow,136:Cliff Swallow,137:Tree Swallow,138:Scarlet Tanager,139:Summer Tanager,140:Artic Tern,141:Black Tern,142:Caspian Tern,143:Common Tern,144:Elegant Tern,145:Forsters Tern,146:Least Tern,147:Green tailed Towhee,148:Brown Thrasher,149:Sage Thrasher,150:Black capped Vireo,151:Blue headed Vireo,152:Philadelphia Vireo,153:Red eyed Vireo,154:Warbling Vireo,155:White eyed Vireo,156:Yellow throated Vireo,157:Bay breasted Warbler,158:Black and white Warbler,159:Black throated Blue Warbler,160:Blue winged Warbler,161:Canada Warbler,162:Cape May Warbler,163:Cerulean Warbler,164:Chestnut sided Warbler,165:Golden winged Warbler,166:Hooded Warbler,167:Kentucky Warbler,168:Magnolia Warbler,169:Mourning Warbler,170:Myrtle Warbler,171:Nashville Warbler,172:Orange crowned Warbler,173:Palm Warbler,174:Pine Warbler,175:Prairie Warbler,176:Prothonotary Warbler,177:Swainson Warbler,178:Tennessee Warbler,179:Wilson Warbler,180:Worm eating Warbler,181:Yellow Warbler,182:Northern Waterthrush,183:Louisiana Waterthrush,184:Bohemian Waxwing,185:Cedar Waxwing,186:American Three toed Woodpecker,187:Pileated Woodpecker,188:Red bellied Woodpecker,189:Red cockaded Woodpecker,190:Red headed Woodpecker,191:Downy Woodpecker,192:Bewick Wren,193:Cactus Wren,194:Carolina Wren,195:House Wren,196:Marsh Wren,197:Rock Wren,198:Winter Wren,199:Common Yellowthroat
0,Black footed Albatross,0,1.000000,0.853124,0.867143,0.011606,0.265038,0.277885,0.222352,0.298765,0.054291,-0.026711,0.096797,0.026629,-0.045610,0.032981,0.022156,0.050611,0.016412,0.047053,0.079629,0.086097,-0.061164,0.041260,0.247483,0.145759,0.172067,0.012774,0.029528,0.047785,0.082052,0.058121,0.072220,0.055342,0.051521,0.045187,0.027736,-0.008252,0.021097,0.035078,0.011299,-0.004830,-0.012561,0.046617,0.037794,0.319121,0.752162,0.140212,0.025331,-0.028266,0.048989,0.131126,0.124335,0.156398,0.151403,0.014861,0.042595,0.027602,-0.026546,0.194036,0.085562,0.117840,0.155485,0.095253,0.158672,0.060798,0.210450,0.083844,-0.002396,-0.007278,-0.004370,0.031213,0.393028,0.574170,-0.002080,-0.002643,0.025848,-0.015791,0.052753,0.047025,-0.022259,0.018507,-0.003317,0.025893,0.032515,0.157578,-0.054783,0.169345,0.025264,-0.046941,0.021217,0.048746,-0.056931,0.041148,0.102991,0.013058,0.073920,0.036883,0.057581,0.066712,0.000358,0.235852,0.167929,0.012399,0.025508,-0.053559,0.021940,0.103758,0.078537,0.096690,-0.023551,-0.018588,-0.023517,-0.025530,-0.036415,-0.002284,-0.002502,0.018772,-0.022603,0.032492,-0.027154,0.029602,-0.032095,-0.041287,-0.012899,-0.011810,-0.012450,0.012042,-0.014311,0.033415,-0.003889,-0.016396,-0.037984,0.000972,0.028480,0.024182,0.025857,-0.023605,-0.002160,-0.028992,0.058139,0.088785,-0.025195,0.137649,0.043886,0.009135,0.007873,0.007991,0.013066,0.033078,-0.056586,-0.075897,0.018023,0.038352,0.103907,0.099753,0.068192,0.049372,0.091738,0.018970,-0.003969,-0.036083,0.046432,0.025066,-0.005861,-0.035064,-0.015387,-0.030911,0.049833,0.060078,0.000518,0.072063,-0.019498,0.070289,0.070615,-0.003136,0.046549,0.005195,0.095055,0.129150,0.105052,0.075254,0.113190,0.040875,0.043240,0.026175,0.038169,0.052944,0.032143,0.015053,-0.030593,0.003671,-0.020188,-0.044889,0.080031,-0.016729,0.060992,0.076929,0.064947,0.042879,0.075620,0.041998
1,Laysan Albatross,0,0.853124,1.000000,0.834616,0.004042,0.229021,0.242662,0.236479,0.219622,0.008772,-0.058055,0.016728,0.033196,-0.023650,0.034210,0.027883,0.031979,0.033681,0.004991,0.038583,0.075439,-0.018801,0.009445,0.195396,0.164633,0.123630,-0.020268,-0.010016,0.060906,0.029564,0.008575,0.055537,0.073425,0.094180,0.042311,0.022222,-0.007407,0.026487,0.059946,0.024834,0.007962,0.078002,0.061849,0.041332,0.363125,0.725057,0.052606,0.093220,0.008880,0.000961,0.086420,0.089202,0.094092,0.141666,0.008253,0.076034,-0.000344,0.001335,0.164858,0.183904,0.165719,0.181284,0.171225,0.214839,0.127331,0.241060,0.176103,0.025792,0.031727,0.027688,0.036004,0.399894,0.484547,0.011183,-0.013420,0.058040,0.055125,0.092714,0.075345,0.024430,0.030652,0.039179,0.040556,0.038158,0.266906,-0.005560,0.132773,0.002846,-0.026943,0.040174,0.055957,-0.033194,0.027804,0.098746,0.057737,0.083420,0.068400,0.042966,0.078355,0.016855,0.261327,0.230009,0.024758,0.036403,-0.032428,0.007647,0.131621,0.041103,0.073577,-0.008378,-0.023540,0.009211,0.003656,-0.009678,0.016705,0.003386,0.029690,-0.014035,0.005445,-0.013983,0.038801,-0.014345,-0.001038,-0.002628,0.004371,-0.015550,0.014778,0.002580,0.001254,-0.004112,-0.035541,-0.020578,0.020633,0.025301,0.008305,0.051378,-0.022590,-0.004787,0.017200,0.043546,0.063264,0.061876,0.151327,0.132012,0.092673,0.098508,0.101508,0.095579,0.011847,-0.065816,-0.092538,0.007650,0.029938,0.086327,0.088026,0.061676,0.039969,0.077244,0.023085,0.032874,-0.012634,0.088676,0.050309,0.026449,-0.019188,0.007729,-0.017986,0.094149,0.089415,0.035844,0.104583,-0.004074,0.084457,0.072006,0.023361,0.076675,0.039353,0.110781,0.130440,0.092488,0.091298,0.109033,0.076170,0.060668,0.063795,0.039811,0.055493,0.055208,0.024888,-0.006205,0.012198,-0.001389,0.001095,0.074567,-0.041962,0.052783,0.064363,0.065146,0.063435,0.060837,0.068842
2,Sooty Albatross,0,0.867143,0.834616,1.000000,-0.009849,0.370662,0.385683,0.329843,0.318352,0.084585,0.003139,0.104987,0.019376,-0.014401,0.050071,0.006644,0.050508,0.027650,0.026073,0.134886,0.068282,-0.012623,0.065637,0.240430,0.183318,0.157458,0.034052,0.054718,0.028864,0.123890,0.095814,0.060485,0.084345,0.076833,0.059692,-0.023328,0.004628,0.019697,0.034780,0.022025,0.022020,0.016017,0.039640,0.034371,0.372654,0.782999,0.110093,0.042715,-0.027013,0.059584,0.111887,0.101803,0.107971,0.117393,0.010747,0.061753,0.012113,-0.028639,0.299119,0.165644,0.177613,0.237718,0.179221,0.274244,0.149556,0.259060,0.155292,0.050226,0.044559,0.049665,0.068416,0.533649,0.633833,0.005407,0.022081,0.061766,0.036724,0.060685,0.052684,0.045424,0.033399,0.008380,0.068192,0.043371,0.302641,-0.020327,0.156297,0.021263,-0.050193,0.064323,0.077780,-0.034519,0.102222,0.128430,0.035097,0.057941,0.043406,0.066001,0.060076,0.008972,0.212863,0.146348,0.013014,0.065215,-0.016689,0.074362,0.108732,0.115795,0.145231,-0.007912,-0.025705,0.019700,0.004801,-0.047773,0.034197,0.005851,0.003554,-0.025584,0.030040,-0.038982,0.069423,-0.047687,-0.029448,-0.026663,-0.037560,-0.009613,-0.005463,-0.019023,0.007028,-0.006792,-0.014541,-0.022387,0.009729,0.030694,0.012134,0.069048,-0.005313,0.003218,-0.019417,0.044971,0.061600,0.119470,0.308661,0.167815,0.128258,0.134305,0.140831,0.116614,0.045126,-0.067119,-0.043439,0.001555,0.034430,0.082727,0.064648,0.043264,0.036128,0.069199,-0.010587,-0.002081,-0.002077,0.057085,0.038743,-0.014855,-0.032158,-0.040590,-0.006179,0.052507,0.041512,0.004438,0.069312,-0.009937,0.073341,0.062896,-0.013813,0.041843,-0.007029,0.119096,0.103531,0.092273,0.060193,0.076434,0.062480,0.045536,0.040518,0.083463,0.091307,0.044068,-0.011505,-0.033526,-0.017383,-0.031974,-0.048514,0.086715,-0.006178,0.046361,0.086675,0.048211,0.092305,0.075791,0.063703
3,Groove billed Ani,0,0.011606,0.004042,-0.009849,1.000000,0.007488,0.047455,0.017764,0.062988,0.343678,0.246010,0.242672,0.177027,0.148106,0.089518,0.063254,0.043903,0.074244,0.217192,0.183438,0.032896,0.142099,0.054846,0.125057,0.110447,0.183491,0.456510,0.430039,0.049378,0.414063,0.441063,0.310937,0.324198,0.260791,0.049015,0.001027,0.083521,-0.051722,0.047130,-0.027661,0.008204,0.180610,0.081359,-0.025764,0.123550,0.059811,0.064753,-0.013488,-0.019158,0.383481,-0.018584,-0.016971,0.028355,-0.034069,0.115835,0.025193,0.035437,0.083664,0.041736,0.056811,0.074381,0.052268,0.060711,0.080576,0.065112,0.063764,0.051728,0.047082,-0.018039,-0.008900,0.118958,0.070168,0.047897,-0.009800,0.267426,0.111482,0.027213,0.085078,0.110515,0.114598,0.112284,0.064218,0.074266,0.047227,0.051885,0.006782,0.028463,0.042828,0.013492,-0.024034,-0.030999,0.127152,0.016765,0.074927,0.048123,0.028729,0.056562,0.143548,0.065026,-0.026880,-0.004038,-0.020209,-0.017239,0.081737,-0.011680,0.059807,0.005453,0.421223,0.354354,0.050121,0.275418,0.149160,0.124603,0.039099,0.029191,0.028377,-0.005869,0.018794,0.061606,0.045403,0.015657,0.045206,0.035512,0.078010,0.058425,0.007691,0.080440,0.019443,0.142957,0.011121,0.005585,0.007854,0.007312,-0.016242,0.326476,0.024719,0.058020,0.097476,0.051697,0.046724,0.046087,0.042471,0.099091,0.019670,0.026001,0.027973,0.046453,0.021526,0.088005,0.152869,0.098838,-0.055834,-0.053692,-0.021398,-0.025760,0.012171,-0.015173,-0.039938,-0.050887,-0.036079,0.045061,-0.067272,-0.059826,-0.060615,-0.012805,0.004805,-0.025646,-0.052084,-0.036557,-0.054027,0.001245,-0.030360,-0.042457,-0.054766,-0.059743,-0.096932,-0.075148,-0.034489,-0.004348,-0.011625,-0.081542,-0.040904,-0.057268,0.012791,-0.009289,-0.009845,0.006788,0.078871,0.112182,0.064193,0.058702,0.171955,0.051797,0.069009,0.152806,0.065650,0.118175,0.099507,0.101578,0.082613,-0.024791
4,Crested Auklet,0,0.265038,0.229021,0.370662,0.007488,1.000000,0.732296,0.876534,0.774956,0.157404,0.053514,0.150333,0.009559,0.028853,-0.043775,-0.089581,-0.017633,0.109372,0.128154,0.099454,0.039706,0.049657,0.080966,0.421453,0.509726,0.388932,0.118479,0.141849,0.001537,0.154629,0.135751,0.066322,0.133689,0.122187,0.089782,0.004055,0.045076,0.028461,0.043772,0.032578,0.084342,0.001019,0.067312,0.033753,0.214714,0.223547,0.059666,0.036766,0.037673,0.107984,0.220901,0.210350,0.234245,0.208212,-0.037415,0.144636,0.016912,0.035651,0.594271,0.055622,0.043180,0.140878,0.055943,0.115912,0.037719,0.071909,0.059921,0.037893,0.042953,0.033449,0.016068,0.305367,0.258907,0.001333,-0.000005,0.001924,0.067290,0.058179,0.078667,0.151457,0.150086,0.136959,0.166558,0.155928,0.182829,0.026774,0.321734,0.081311,-0.007896,0.180053,0.241526,0.010238,0.124407,0.094591,0.005966,0.034428,0.033230,0.029246,0.024759,0.026605,0.110650,0.093170,0.026593,0.069682,0.050992,0.075449,0.568840,0.142107,0.184944,0.015450,0.081472,0.068814,0.025866,-0.010298,0.045032,0.052031,0.041452,0.032697,0.051188,-0.008310,0.079081,0.005958,0.011897,0.035245,0.001901,0.017202,0.036691,0.028877,0.059181,0.039774,0.050143,0.027252,0.143919,0.105557,0.052572,0.104216,0.034568,0.054264,0.006677,0.023226,0.038528,0.197307,0.261526,0.236230,0.205593,0.225289,0.204288,0.221098,0.069328,-0.017824,0.022138,0.029262,0.033091,0.045260,0.019824,0.017059,0.029090,-0.008337,-0.050025,0.029385,-0.026711,-0.025407,0.044624,-0.051862,-0.061178,-0.046015,0.017397,0.018893,0.059974,0.001925,-0.002209,-0.007794,-0.012402,0.002268,0.008773,-0.031798,-0.005775,0.020297,0.098890,0.010312,0.034067,0.092855,-0.015802,0.121656,0.148275,0.162414,0.148382,0.102828,0.162489,0.017396,0.093218,0.034077,0.087034,0.051165,0.032503,0.047073,0.019381,0.012163,0.048585,0.031380,0.029842
5,Least Auklet,0,0.277885,0.242662,0.385683,0.047455,0.732296,1.000000,0.810624,0.641037,0.138348,0.050853,0.162520,0.052082,0.054050,-0.048695,-0.071003,-0.023786,0.030707,0.112760,0.085053,0.086145,0.066523,0.121528,0.364049,0.355624,0.330311,0.118171,0.123303,0.035427,0.135010,0.117800,0.135766,0.122783,0.124484,0.099667,0.049248,0.026872,0.056995,0.075970,0.080837,0.175671,0.078060,0.108710,0.053277,0.232005,0.345448,0.054337,-0.002358,-0.028714,0.097432,0.258665,0.249746,0.247872,0.234378,-0.050141,0.003989,0.078896,0.101442,0.543399,0.095236,0.110497,0.171019,0.111093,0.227825,0.110813,0.192162,0.093963,0.076850,0.076724,0.070527,0.044639,0.366880,0.423725,-0.034463,0.008520,-0.054816,0.006642,0.096437,0.162605,0.212495,0.228755,0.243724,0.178616,0.134031,0.230200,0.002976,0.378536,-0.000467,-0.005984,0.196265,0.260641,0.092650,0.248621,0.074228,0.037725,0.065842,0.019255,0.032131,0.062930,0.045893,0.064993,0.017617,0.074523,0.144381,0.052499,0.146537,0.461108,0.105281,0.163884,0.066011,0.061841,0.164874,0.071360,-0.010517,0.060583,0.041027,0.007949,-0.005106,0.096632,-0.025261,0.137914,-0.022463,0.057460,0.014901,-0.010638,0.013395,0.026460,0.043220,0.102850,0.090709,0.065084,0.030685,0.043044,0.054250,0.018331,0.257439,0.109093,0.155367,0.137364,0.038893,0.033598,0.180185,0.305792,0.193114,0.181741,0.170761,0.226909,0.177789,0.058178,0.047263,0.101166,0.037207,0.044712,0.060043,0.036518,0.065251,0.031579,0.010544,-0.017826,0.107551,0.038938,-0.017546,0.050450,0.008440,0.056275,0.017301,-0.003856,-0.029337,-0.007397,0.040580,-0.025030,0.088626,0.017280,-0.004202,0.016079,-0.021683,0.007469,0.020199,0.073805,0.041022,-0.023842,-0.004841,0.012066,0.142322,0.167152,0.050199,0.032367,0.200272,0.170550,0.046631,0.165313,0.037773,0.172750,0.052232,0.057807,0.026661,0.044167,0.008965,0.092174,0.032201,-0.006311
6,Parakeet Auklet,0,0.222352,0.236479,0.329843,0.017764,0.876534,0.810624,1.000000,0.758337,0.066947,0.014006,0.066357,0.010984,0.031006,-0.050944,-0.065194,-0.023102,0.078585,0.099329,0.052954,0.071138,0.077302,0.078583,0.360453,0.414912,0.327432,0.040281,0.058608,0.013140,0.072018,0.055438,0.072751,0.097563,0.110024,0.071663,0.021254,0.019663,0.042735,0.069280,0.055489,0.099544,0.051932,0.067209,0.047327,0.234911,0.237939,0.059684,0.058595,0.003816,0.032992,0.237971,0.236315,0.241645,0.228507,-0.055744,0.088540,0.012777,0.099135,0.554300,0.100260,0.090305,0.141750,0.096012,0.153959,0.086455,0.125062,0.097215,0.063230,0.066671,0.064814,0.025725,0.267638,0.271934,-0.032403,-0.035361,-0.032060,0.118741,0.084828,0.096020,0.187068,0.209489,0.198908,0.184740,0.175130,0.214215,0.021752,0.375647,0.059874,-0.000373,0.208513,0.263163,0.010296,0.141137,0.040117,0.030689,0.066159,0.039138,0.017518,0.054247,0.054075,0.116528,0.092914,0.025652,0.077640,0.033192,0.098764,0.657317,0.073494,0.158272,0.045382,0.082017,0.077728,0.008137,0.004787,0.080247,0.057922,0.051938,0.031455,0.052189,0.008795,0.111722,0.019245,0.094516,0.061465,0.030418,0.022516,0.065264,0.059414,0.051418,0.091883,0.066544,0.032672,0.126879,0.097734,-0.040171,0.139822,0.049419,0.086896,0.058498,0.017398,0.023818,0.190107,0.227286,0.204004,0.189531,0.197115,0.199105,0.180692,0.049448,0.004776,0.015644,0.052117,0.065559,0.092895,0.063659,0.051291,0.035366,0.019977,0.003421,0.084216,0.031375,-0.014017,0.078410,-0.018374,-0.001070,0.010378,0.019286,0.025405,0.071104,0.044219,0.043118,0.047625,0.039992,0.021367,0.026935,0.005832,0.015047,0.048286,0.125967,0.033961,0.060126,0.111727,0.018136,0.158199,0.207281,0.099970,0.095820,0.132827,0.153245,0.008481,0.112213,0.022823,0.136191,0.081533,0.037939,0.085249,0.024836,0.038326,0.063282,0.034567,0.036925
7,Rhinoceros Auklet,0,0.298765,0.219622,0.318352,0.062988,0.774956,0.641037,0.758337,1.000000,0.113781,0.059213,0.128926,0.013447,0.051682,-0.013739,-0.047869,-0.003664,0.068509,0.132837,0.128737,0.062061,0.086097,0.192968,0.340465,0.326134,0.317243,0.077388,0.119195,-0.008442,0.144856,0.124533,0.133642,0.189723,0.188899,0.070070,-0.005309,0.031160,0.027960,0.071537,0.032392,0.094238,0.063277,0.046761,0.031033,0.177367,0.328155,0.129938,0.029805,0.024203,0.084394,0.301222,0.285973,0.312873,0.291360,0.001729,0.124338,-0.005347,0.059036,0.542394,0.141336,0.142431,0.211553,0.136893,0.184527,0.129230,0.175043,0.141583,0.011976,0.026283,0.023519,-0.007873,0.291187,0.305915,0.040176,0.056486,0.015698,0.079508,0.082177,0.109877,0.218353,0.197931,0.159868,0.209972,0.195062,0.226176,0.021872,0.450922,0.071973,-0.035945,0.208472,0.316907,0.057275,0.215433,0.109488,0.021594,0.076415,0.059740,0.035825,0.058944,0.082897,0.081955,0.080954,0.030643,0.053454,0.053363,0.180353,0.558265,0.125664,0.162350,0.039785,0.108803,0.135013,0.061856,0.040527,0.093282,0.084717,0.086616,0.084339,0.109072,0.025515,0.118462,0.024078,0.076547,0.075749,0.027894,0.057649,0.043192,0.079643,0.093775,0.088457,0.081614,0.061263,0.165391,0.162940,0.005854,0.177641,0.079641,0.137194,0.069146,0.031861,0.043279,0.140487,0.279090,0.211116,0.188132,0.170604,0.215972,0.220283,0.100021,0.026316,0.026260,0.045651,0.031488,0.041993,0.046119,0.034443,0.042525,-0.010956,-0.042584,0.048364,0.026120,-0.015588,0.089226,-0.089061,-0.005742,-0.025803,0.069296,0.018075,0.070917,0.004337,0.062827,-0.015218,0.013351,0.012881,-0.005147,-0.026601,-0.022645,0.011027,0.149173,0.025203,0.016300,0.119479,-0.026629,0.180014,0.223286,0.150922,0.137141,0.124388,0.165688,0.025186,0.105049,0.019944,0.115448,0.106804,0.087415,0.108263,0.067979,0.071879,0.048800,0.070838,0.044270
8,Brewer Blackbird,0,0.054291,0.008772,0.084585,0.343678,0.157404,0.138348,0.066947,0.113781,1.000000,0.568752,0.749666,0.420374,0.390978,0.316420,0.189803,0.217716,0.052954,0.170562,0.281997,0.111437,0.120264,0.053039,0.235001,0.257480,0.302266,0.880859,0.923660,0.003940,0.705872,0.756007,0.064628,0.085697,0.059398,0.211509,0.055872,0.103096,-0.057514,-0.035849,-0.048136,0.041246,0.058012,0.101553,-0.035415,0.085561,0.042048,0.010526,0.027363,-0.004939,0.926263,0.072733,0.061627,0.082485,0.037240,0.285111,0.075776,0.062070,0.069373,0.178626,0.032447,0.030414,0.037322,0.029139,0.102570,0.039370,0.024828,0.037002,0.059642,0.035053,0.008656,0.136623,0.075181,0.059301,0.072403,0.288049,0.175253,0.059525,0.044368,0.042381,0.052647,0.066071,0.023011,0.023484,0.055015,0.021457,0.164345,0.066719,0.033637,0.075382,0.059810,-0.010468,0.171198,0.046209,0.262943,0.088439,0.086044,0.149879,0.273725,0.182620,0.072385,-0.033822,-0.037266,-0.010210,0.060683,0.177279,0.042898,0.027652,0.564395,0.457899,0.182307,0.049874,0.031273,0.044701,0.073701,0.085627,0.019997,0.065608,0.040628,0.077283,0.041768,0.112070,0.083281,0.028348,0.055606,0.050966,0.092096,0.104542,0.058076,0.196599,0.064076,0.044822,0.042378,0.107309,0.062866,0.864472,0.107517,0.218187,0.184631,0.202985,0.167230,0.164948,0.031472,0.198739,0.004622,0.020960,0.013139,0.011557,0.017962,0.094827,0.116218,0.203106,0.048642,0.001418,-0.023741,-0.019607,-0.011818,0.000860,0.046475,0.026900,0.091504,0.197500,0.126875,0.114360,0.096311,0.079610,0.063352,0.131012,0.064730,0.088886,0.085529,0.075166,0.124037,0.033061,0.046385,0.137238,0.049603,0.103679,0.166087,0.114137,0.096841,0.042666,0.049383,0.081348,0.147631,0.116621,0.049696,0.079135,0.075542,0.120937,0.065889,0.053928,0.172740,0.044101,0.095454,0.103681,0.059342,0.154513,0.043302,0.139123,0.127063,0.050168
9,Red winged Blackbird,0,-0.026711,-0.058055,0.003139,0.246010,0.053514,0.050853,0.014006,0.059213,0.568752,1.000000,0.437450,0.649588,0.694381,0.166625,0.155825,0.091314,0.024267,0.021806,0.157195,0.120609,0.178176,0.033219,0.117354,0.136363,0.183445,0.619066,0.620780,-0.048266,0.448614,0.497454,0.031868,0.007246,0.018448,0.228536,0.082322,0.010542,-0.023083,-0.019482,-0.010137,0.024954,0.048530,0.119318,-0.005139,0.062512,0.007042,0.067044,0.069733,0.134453,0.595334,0.066323,0.051044,0.058797,0.017150,0.251659,0.162102,0.154377,0.321399,0.249700,0.019520,0.027504,0.025733,0.021529,0.036685,0.032814,0.012890,0.020964,0.053659,0.020792,0.008388,0.064949,0.028369,-0.001824,-0.007995,0.147576,0.047475,0.026897,0.024962,0.028590,-0.009898,0.026809,0.007151,-0.020276,-0.007414,0.006897,0.130710,0.067077,0.042313,0.109406,0.068317,0.014810,0.110314,0.047133,0.216108,0.004095,0.316336,0.353358,0.402186,0.385136,0.026825,0.011832,-0.015736,-0.005768,0.045475,0.081865,0.030863,0.018758,0.372000,0.353428,0.406552,0.020097,0.074160,0.067580,0.120741,0.112984,0.062090,0.064660,0.092804,0.098736,0.069180,0.059769,0.115305,0.126820,0.093426,0.098006,0.071988,0.172805,0.104460,0.225128,0.070364,0.081345,0.054784,0.089609,0.040947,0.468355,0.038235,0.138294,0.129606,0.063964,0.255283,0.104061,0.044788,0.115145,0.019805,0.023206,0.022704,0.032474,0.014259,0.152936,0.038868,0.088288,0.032779,0.038778,0.004402,0.004562,0.033506,-0.025403,0.086273,0.096957,0.120553,0.234894,0.169767,0.018685,0.201899,0.134029,0.147499,0.338473,0.033881,-0.016759,0.124565,-0.015114,0.220291,0.017674,0.029099,0.176459,0.035031,0.115386,0.093201,0.075428,0.080405,-0.033800,0.028724,0.061077,0.054838,0.038009,-0.022853,-0.019943,0.058235,0.114568,0.046066,0.032782,0.194054,0.070090,0.043209,0.022627,0.008098,0.059542,0.063846,0.056183,0.028481,0.056992
10,Rusty Blackbird,0,0.096797,0.016728,0.104987,0.242672,0.150333,0.162520,0.066357,0.128926,0.749666,0.437450,1.000000,0.409563,0.387786,0.318845,0.220672,0.229028,0.089238,0.269738,0.408463,0.106723,0.136660,0.126263,0.147293,0.092984,0.178248,0.681847,0.744113,-0.021706,0.523716,0.509449,0.114832,0.124687,0.077185,0.430851,0.147280,0.166294,-0.028584,-0.021992,-0.023481,0.107835,0.105589,0.094696,-0.001370,0.010465,0.068680,0.048177,0.059923,0.039844,0.699280,0.085623,0.082621,0.111028,0.030756,0.364807,0.141072,0.267578,0.079925,0.131193,0.007223,0.019429,0.032622,0.016936,0.090971,0.017761,0.026599,0.009201,0.036589,0.020915,0.007796,0.070229,0.103461,0.112468,0.070003,0.349077,0.098617,0.081612,0.049418,0.072643,0.056692,0.098527,-0.011078,0.061914,0.092234,0.003359,0.212365,0.080756,-0.031726,0.040791,0.028080,0.005279,0.302552,0.112188,0.358250,0.106727,0.059882,0.108529,0.267756,0.167152,0.128460,-0.019626,-0.031127,0.053047,0.079504,0.255390,0.088056,0.001913,0.369328,0.304634,0.167851,0.025206,0.111164,0.136580,0.081402,0.137228,0.036088,0.117536,0.072066,0.154551,0.063290,0.234226,0.053136,0.074460,0.066699,0.046696,0.153760,0.151812,0.064616,0.357145,0.108324,0.130694,0.032865,0.143211,0.134593,0.565254,0.074594,0.152079,0.175241,0.078098,0.169089,0.225295,0.005688,0.133437,-0.035598,-0.008364,-0.011100,-0.033026,-0.039476,0.205951,0.242129,0.327223,-0.010739,-0.004015,0.005386,0.041220,0.003604,-0.018565,0.057577,0.035820,0.052763,0.176301,0.157225,0.102031,0.145626,0.033684,0.021491,0.148554,0.067042,0.085415,0.056167,0.071727,0.129507,0.080362,0.146304,0.223981,0.080107,0.104025,0.168336,0.193328,0.235012,0.031394,0.121621,0.065035,0.252009,0.194522,0.089474,0.113627,0.127216,0.131227,0.103531,0.056885,0.138857,0.037486,0.180530,0.123940,0.136272,0.299497,0.110719,0.237838,0.238552,0.066601
