class_id,class_name,intro_session,0:Black footed Albatross,1:Laysan Albatross,2:Sooty Albatross,3:Groove billed Ani,4:Crested Auklet,5:Least Auklet,6:Parakeet Auklet,7:Rhinoceros Auklet,8:Brewer Blackbird,9:Red winged Blackbird,10:Rusty Blackbird,11:Yellow headed Blackbird,12:Bobolink,13:Indigo Bunting,14:Lazuli Bunting,15:Painted Bunting,16:Cardinal,17:Spotted Catbird,18:Gray Catbird,19:Yellow breasted Chat,20:Eastern Towhee,21:Chuck will Widow,22:Brandt Cormorant,23:Red faced Cormorant,24:Pelagic Cormorant,25:Bronzed Cowbird,26:Shiny Cowbird,27:Brown Creeper,28:American Crow,29:Fish Crow,30:Black billed Cuckoo,31:Mangrove Cuckoo,32:Yellow billed Cuckoo,33:Gray crowned Rosy Finch,34:Purple Finch,35:Northern Flicker,36:Acadian Flycatcher,37:Great Crested Flycatcher,38:Least Flycatcher,39:Olive sided Flycatcher,40:Scissor tailed Flycatcher,41:Vermilion Flycatcher,42:Yellow bellied Flycatcher,43:Frigatebird,44:Northern Fulmar,45:Gadwall,46:American Goldfinch,47:European Goldfinch,48:Boat tailed Grackle,49:Eared Grebe,50:Horned Grebe,51:Pied billed Grebe,52:Western Grebe,53:Blue Grosbeak,54:Evening Grosbeak,55:Pine Grosbeak,56:Rose breasted Grosbeak,57:Pigeon Guillemot,58:California Gull,59:Glaucous winged Gull,60:Heermann Gull,61:Herring Gull,62:Ivory Gull,63:Ring billed Gull,64:Slaty backed Gull,65:Western Gull,66:Anna Hummingbird,67:Ruby throated Hummingbird,68:Rufous Hummingbird,69:Green Violetear,70:Long tailed Jaeger,71:Pomarine Jaeger,72:Blue Jay,73:Florida Jay,74:Green Jay,75:Dark eyed Junco,76:Tropical Kingbird,77:Gray Kingbird,78:Belted Kingfisher,79:Green Kingfisher,80:Pied Kingfisher,81:Ringed Kingfisher,82:White breasted Kingfisher,83:Red legged Kittiwake,84:Horned Lark,85:Pacific Loon,86:Mallard,87:Western Meadowlark,88:Hooded Merganser,89:Red breasted Merganser,90:Mockingbird,91:Nighthawk,92:Clark Nutcracker,93:White breasted Nuthatch,94:Baltimore Oriole,95:Hooded Oriole,96:Orchard Oriole,97:Scott Oriole,98:Ovenbird,99:Brown Pelican,100:White Pelican,101:Western Wood Pewee,102:Sayornis,103:American Pipit,104:Whip poor Will,105:Horned Puffin,106:Common Raven,107:White necked Raven,108:American Redstart,109:Geococcyx,110:Loggerhead Shrike,111:Great Grey Shrike,112:Baird Sparrow,113:Black throated Sparrow,114:Brewer Sparrow,115:Chipping Sparrow,116:Clay colored Sparrow,117:House Sparrow,118:Field Sparrow,119:Fox Sparrow,120:Grasshopper Sparrow,121:Harris Sparrow,122:Henslow Sparrow,123:Le Conte Sparrow,124:Lincoln Sparrow,125:Nelson Sharp tailed Sparrow,126:Savannah Sparrow,127:Seaside Sparrow,128:Song Sparrow,129:Tree Sparrow,130:Vesper Sparrow,131:White crowned Sparrow,132:White throated Sparrow,133:Cape Glossy Starling,134:Bank Swallow,135:Barn Swallow,136:Cliff Swallow,137:Tree Swallow,138:Scarlet Tanager,139:Summer Tanager,140:Artic Tern,141:Black Tern,142:Caspian Tern,143:Common Tern,144:Elegant Tern,145:Forsters Tern,146:Least Tern,147:Green tailed Towhee,148:Brown Thrasher,149:Sage Thrasher,150:Black capped Vireo,151:Blue headed Vireo,152:Philadelphia Vireo,153:Red eyed Vireo,154:Warbling Vireo,155:White eyed Vireo,156:Yellow throated Vireo,157:Bay breasted Warbler,158:Black and white Warbler,159:Black throated Blue Warbler,160:Blue winged Warbler,161:Canada Warbler,162:Cape May Warbler,163:Cerulean Warbler,164:Chestnut sided Warbler,165:Golden winged Warbler,166:Hooded Warbler,167:Kentucky Warbler,168:Magnolia Warbler,169:Mourning Warbler,170:Myrtle Warbler,171:Nashville Warbler,172:Orange crowned Warbler,173:Palm Warbler,174:Pine Warbler,175:Prairie Warbler,176:Prothonotary Warbler,177:Swainson Warbler,178:Tennessee Warbler,179:Wilson Warbler,180:Worm eating Warbler,181:Yellow Warbler,182:Northern Waterthrush,183:Louisiana Waterthrush,184:Bohemian Waxwing,185:Cedar Waxwing,186:American Three toed Woodpecker,187:Pileated Woodpecker,188:Red bellied Woodpecker,189:Red cockaded Woodpecker,190:Red headed Woodpecker,191:Downy Woodpecker,192:Bewick Wren,193:Cactus Wren,194:Carolina Wren,195:House Wren,196:Marsh Wren,197:Rock Wren,198:Winter Wren,199:Common Yellowthroat
0,Black footed Albatross,0,1.000000,0.957700,0.963800,0.806986,0.879704,0.852065,0.850391,0.928884,0.801443,0.761319,0.805379,0.782518,0.772930,0.731308,0.732375,0.730665,0.731657,0.777099,0.786855,0.751246,0.747000,0.786765,0.918441,0.874032,0.916375,0.784556,0.787943,0.761112,0.796834,0.825573,0.798873,0.790736,0.795904,0.789961,0.738854,0.767833,0.761159,0.769573,0.753603,0.783347,0.781686,0.747517,0.768912,0.922701,0.944271,0.885896,0.727851,0.739047,0.812293,0.850403,0.854295,0.871623,0.839876,0.723055,0.754252,0.753449,0.740535,0.904150,0.883686,0.898492,0.900698,0.898816,0.873502,0.884257,0.928418,0.888284,0.787753,0.792917,0.791277,0.763731,0.926479,0.947052,0.756157,0.791908,0.754657,0.756467,0.783630,0.798863,0.803212,0.780400,0.791293,0.786448,0.785809,0.893590,0.765544,0.901133,0.821484,0.728712,0.830612,0.863361,0.807935,0.818675,0.823160,0.776437,0.730497,0.746498,0.751755,0.761104,0.734745,0.886026,0.842069,0.768654,0.796789,0.733524,0.796143,0.881032,0.801237,0.868052,0.726274,0.773626,0.777633,0.764139,0.702260,0.759549,0.747399,0.745818,0.728183,0.759494,0.747238,0.729578,0.711332,0.745217,0.706566,0.721277,0.718035,0.753493,0.693667,0.749547,0.732237,0.734072,0.706334,0.734223,0.732651,0.765863,0.797434,0.792906,0.776022,0.766192,0.734490,0.700330,0.838759,0.854028,0.855020,0.817254,0.860419,0.843261,0.828505,0.766291,0.754713,0.722878,0.747164,0.757859,0.763258,0.752105,0.760881,0.758772,0.753184,0.754043,0.734455,0.745070,0.772238,0.728657,0.741258,0.743075,0.739751,0.755274,0.753338,0.728038,0.718347,0.754059,0.712493,0.720553,0.749877,0.729314,0.740520,0.712220,0.743180,0.776553,0.758694,0.728390,0.726141,0.757681,0.703427,0.703225,0.766793,0.780538,0.741170,0.750040,0.747622,0.757145,0.772450,0.715668,0.767939,0.738039,0.745258,0.753382,0.742918,0.755004,0.748556,0.741020
1,Laysan Albatross,0,0.957700,1.000000,0.948982,0.823876,0.892228,0.863345,0.879619,0.924114,0.816763,0.787949,0.802490,0.805460,0.797941,0.761885,0.761730,0.762048,0.766246,0.789670,0.797488,0.775622,0.776468,0.797237,0.922006,0.893881,0.917736,0.798395,0.807256,0.788986,0.816893,0.844071,0.823712,0.820785,0.838645,0.790578,0.760005,0.788606,0.781938,0.794652,0.779255,0.808686,0.823533,0.775653,0.788153,0.953873,0.942666,0.868431,0.769600,0.765745,0.833619,0.848815,0.854454,0.864298,0.873076,0.745384,0.776576,0.765515,0.790371,0.906502,0.935476,0.932397,0.932937,0.940603,0.906114,0.925173,0.949940,0.939831,0.806385,0.812562,0.801981,0.781161,0.939663,0.939396,0.793737,0.817329,0.792119,0.784013,0.815145,0.837251,0.849612,0.826938,0.852578,0.832307,0.836022,0.931543,0.790634,0.904414,0.853341,0.761936,0.845153,0.879871,0.833769,0.833779,0.848418,0.811561,0.766205,0.781023,0.770934,0.785135,0.754970,0.919628,0.889666,0.781789,0.818081,0.738378,0.803169,0.918778,0.821348,0.879061,0.752794,0.807205,0.812699,0.799541,0.714699,0.793733,0.758631,0.775313,0.751082,0.781713,0.776045,0.744993,0.734621,0.767754,0.733101,0.741771,0.729740,0.761467,0.717042,0.754147,0.758686,0.755800,0.725909,0.765847,0.760784,0.796192,0.828576,0.823172,0.810276,0.813522,0.769662,0.730245,0.886119,0.878303,0.910186,0.876568,0.911170,0.898049,0.882266,0.784914,0.770559,0.736597,0.768536,0.780018,0.774701,0.787321,0.781726,0.787403,0.763186,0.773161,0.774507,0.779499,0.797539,0.752475,0.765191,0.785382,0.775169,0.787504,0.782338,0.753453,0.751220,0.777128,0.737528,0.732145,0.763617,0.748600,0.756777,0.731904,0.766793,0.807405,0.775212,0.754220,0.740258,0.780209,0.725485,0.726831,0.778303,0.797391,0.768553,0.798236,0.783806,0.789836,0.818161,0.765439,0.785662,0.759516,0.762958,0.758293,0.766688,0.775462,0.748108,0.772523
2,Sooty Albatross,0,0.963800,0.948982,1.000000,0.815057,0.906051,0.896054,0.893316,0.916713,0.844973,0.794602,0.832954,0.796745,0.804622,0.759651,0.759949,0.763973,0.745694,0.794454,0.832959,0.787535,0.787551,0.795677,0.905965,0.884393,0.901521,0.822749,0.821676,0.780032,0.814954,0.841643,0.827243,0.812778,0.820542,0.812389,0.750953,0.792719,0.794281,0.793751,0.788796,0.818120,0.812985,0.783429,0.799359,0.925856,0.956223,0.864137,0.741274,0.754122,0.838551,0.843804,0.846115,0.846632,0.836738,0.742439,0.767467,0.769266,0.765906,0.928569,0.891829,0.906581,0.912368,0.908079,0.906757,0.903275,0.930164,0.896342,0.821113,0.823040,0.822507,0.802561,0.958899,0.963789,0.779604,0.815562,0.782959,0.793629,0.814403,0.833058,0.831744,0.801132,0.807228,0.806392,0.785898,0.928792,0.796195,0.901904,0.813698,0.758684,0.847066,0.844828,0.835102,0.839856,0.842647,0.811291,0.757184,0.769511,0.788990,0.792729,0.758447,0.847272,0.806893,0.803476,0.828993,0.771169,0.811781,0.876170,0.815181,0.876478,0.769452,0.786562,0.810044,0.801065,0.718422,0.801290,0.767254,0.765713,0.744581,0.776784,0.770967,0.762812,0.734062,0.754215,0.718698,0.738086,0.745689,0.773638,0.721144,0.765932,0.753538,0.747991,0.729209,0.754988,0.751561,0.806160,0.839532,0.818722,0.795316,0.817517,0.752727,0.714965,0.894172,0.913465,0.877275,0.864959,0.886594,0.892366,0.863955,0.791986,0.767253,0.755602,0.792468,0.793986,0.797204,0.779677,0.787900,0.792068,0.783606,0.775936,0.770508,0.794305,0.790282,0.769982,0.763002,0.783852,0.771092,0.793547,0.790508,0.775427,0.755855,0.797355,0.753777,0.758124,0.780542,0.760305,0.764357,0.736249,0.775688,0.806188,0.780515,0.768605,0.747401,0.784565,0.735649,0.734644,0.786496,0.802502,0.769413,0.756226,0.760011,0.777338,0.795053,0.745954,0.804858,0.759156,0.758532,0.783854,0.763335,0.795165,0.781197,0.778362
3,Groove billed Ani,0,0.806986,0.823876,0.815057,1.000000,0.864774,0.850274,0.826329,0.846996,0.944438,0.914899,0.926581,0.892760,0.898760,0.875894,0.846049,0.862025,0.831819,0.896836,0.913533,0.852117,0.881486,0.875746,0.883180,0.862941,0.879088,0.960383,0.965390,0.842351,0.945719,0.963644,0.873725,0.897730,0.884680,0.865271,0.847029,0.824402,0.843579,0.863478,0.836161,0.872778,0.843321,0.856661,0.855198,0.880674,0.816876,0.784891,0.818254,0.778978,0.950218,0.788738,0.774032,0.816474,0.757934,0.883672,0.855420,0.840464,0.870355,0.845057,0.809241,0.816009,0.821731,0.817761,0.795482,0.809958,0.820553,0.803932,0.853103,0.823817,0.821119,0.853768,0.840218,0.839926,0.839838,0.918581,0.878067,0.869647,0.881068,0.881412,0.868702,0.857175,0.840257,0.859576,0.843976,0.804852,0.785010,0.787763,0.777626,0.792583,0.765959,0.771322,0.891053,0.874231,0.887266,0.832213,0.859437,0.872692,0.901589,0.889346,0.816803,0.804997,0.771408,0.836919,0.899882,0.777922,0.851447,0.799405,0.932903,0.918337,0.852583,0.867976,0.873912,0.829442,0.760736,0.834642,0.821113,0.786499,0.795325,0.846028,0.813363,0.833173,0.776849,0.818725,0.793513,0.779272,0.813521,0.823444,0.769460,0.836865,0.813340,0.783537,0.793882,0.795653,0.795174,0.910942,0.849734,0.871800,0.862272,0.832530,0.858726,0.829506,0.772456,0.855408,0.797410,0.757827,0.778118,0.802693,0.780711,0.855415,0.868100,0.841625,0.812505,0.833822,0.830489,0.815080,0.812070,0.829798,0.815498,0.828410,0.824470,0.876136,0.839420,0.824228,0.824294,0.838569,0.804413,0.809507,0.824935,0.811646,0.813915,0.849513,0.799220,0.801549,0.837170,0.812792,0.823916,0.788728,0.813101,0.841909,0.831172,0.818908,0.774121,0.827165,0.803220,0.791522,0.776464,0.837353,0.841753,0.822048,0.794588,0.824194,0.871944,0.806295,0.835208,0.829732,0.815139,0.844735,0.810963,0.818107,0.820902,0.830036
4,Crested Auklet,0,0.879704,0.892228,0.906051,0.864774,1.000000,0.940673,0.968983,0.951020,0.885311,0.859588,0.857064,0.812004,0.827510,0.781882,0.774771,0.796618,0.791858,0.821823,0.846129,0.795369,0.832890,0.813205,0.914787,0.953325,0.914500,0.875161,0.863338,0.784902,0.859421,0.871056,0.815086,0.819332,0.832971,0.838212,0.780944,0.787659,0.800524,0.790515,0.792785,0.827901,0.789450,0.798429,0.807314,0.897835,0.894814,0.824083,0.768389,0.784592,0.865034,0.860658,0.851202,0.860957,0.837407,0.783906,0.820350,0.786225,0.827472,0.941726,0.877787,0.891569,0.903928,0.889649,0.852832,0.872634,0.896967,0.893263,0.798831,0.789681,0.781496,0.782666,0.896410,0.888743,0.786145,0.824781,0.795694,0.840811,0.802809,0.814325,0.851152,0.811751,0.805710,0.828008,0.811938,0.914631,0.782066,0.859625,0.819317,0.772537,0.829533,0.857644,0.830653,0.828638,0.844559,0.803925,0.788485,0.796971,0.823643,0.820393,0.773963,0.824373,0.800787,0.808930,0.834980,0.763242,0.803041,0.911752,0.858882,0.897614,0.807277,0.793167,0.789673,0.783618,0.743882,0.781332,0.766246,0.770315,0.753921,0.788239,0.779548,0.793129,0.757057,0.777102,0.746671,0.730354,0.767047,0.783105,0.737527,0.811209,0.759964,0.761174,0.730626,0.793718,0.772606,0.841417,0.829026,0.838487,0.804881,0.811543,0.780681,0.751534,0.854709,0.884993,0.871918,0.838534,0.861136,0.882688,0.863996,0.822067,0.775643,0.771648,0.784529,0.783301,0.789003,0.757773,0.773569,0.785627,0.777089,0.775701,0.766127,0.804339,0.777177,0.793185,0.770619,0.781819,0.777048,0.791198,0.802965,0.785617,0.758669,0.816785,0.767729,0.760671,0.779633,0.779008,0.765997,0.725111,0.757167,0.815072,0.782623,0.786951,0.763014,0.766336,0.764582,0.762589,0.788594,0.789690,0.796613,0.785726,0.756121,0.778770,0.816666,0.776222,0.808353,0.761664,0.770917,0.796202,0.795032,0.793953,0.798344,0.785841
5,Least Auklet,0,0.852065,0.863345,0.896054,0.850274,0.940673,1.000000,0.962612,0.919851,0.882365,0.827122,0.870786,0.791882,0.853889,0.780185,0.786808,0.767157,0.767027,0.838007,0.862694,0.796163,0.845773,0.836851,0.865642,0.881531,0.864465,0.859611,0.854746,0.829426,0.841607,0.848347,0.840306,0.814218,0.836809,0.872011,0.795929,0.821052,0.839098,0.818075,0.834349,0.866127,0.825078,0.796033,0.836062,0.853490,0.897272,0.818123,0.761204,0.785896,0.847142,0.826308,0.827536,0.834141,0.799122,0.786893,0.807961,0.808174,0.841533,0.932341,0.860460,0.881940,0.895560,0.877182,0.868943,0.876482,0.900786,0.870585,0.819037,0.801367,0.794262,0.776446,0.903979,0.903767,0.824249,0.840041,0.780284,0.857596,0.820889,0.860635,0.869530,0.826153,0.850235,0.829887,0.785515,0.905743,0.814432,0.866730,0.786002,0.784950,0.841143,0.828392,0.871228,0.884657,0.877813,0.846937,0.782641,0.778546,0.819026,0.826273,0.811948,0.777276,0.742625,0.845081,0.857367,0.809748,0.845645,0.875450,0.836270,0.882657,0.807469,0.814836,0.840573,0.838245,0.777916,0.825900,0.797466,0.793114,0.778921,0.822863,0.806651,0.834401,0.790361,0.809866,0.768749,0.741695,0.799655,0.799670,0.767909,0.811678,0.808511,0.790720,0.774826,0.808873,0.792041,0.829579,0.868362,0.829638,0.828826,0.850285,0.756020,0.733170,0.841170,0.895902,0.824705,0.813787,0.821579,0.871070,0.839732,0.821680,0.786736,0.826208,0.823177,0.822656,0.808360,0.778685,0.797519,0.803415,0.800791,0.799468,0.829099,0.845936,0.762461,0.792223,0.774187,0.824931,0.802727,0.795912,0.793018,0.776649,0.779193,0.814046,0.809614,0.770387,0.782386,0.793622,0.772854,0.735952,0.750065,0.812834,0.791939,0.765592,0.764925,0.761111,0.789232,0.807443,0.785663,0.786672,0.849706,0.776812,0.778763,0.835578,0.825987,0.837028,0.829076,0.794627,0.786987,0.811527,0.789613,0.833514,0.813405,0.778372
6,Parakeet Auklet,0,0.850391,0.879619,0.893316,0.826329,0.968983,0.962612,1.000000,0.934914,0.864926,0.833145,0.838574,0.786203,0.828810,0.763254,0.767482,0.770899,0.765219,0.803887,0.830646,0.784513,0.831228,0.797536,0.878351,0.916014,0.877962,0.847236,0.834007,0.786452,0.826097,0.835641,0.812896,0.796333,0.826773,0.833611,0.773934,0.791225,0.817889,0.796092,0.814834,0.838306,0.789869,0.785526,0.818421,0.872470,0.884359,0.817245,0.762982,0.787930,0.835627,0.833913,0.832429,0.830593,0.822193,0.759563,0.804102,0.782100,0.839246,0.941474,0.864459,0.880315,0.897848,0.879922,0.856446,0.864667,0.891167,0.882336,0.801549,0.788255,0.778278,0.770332,0.889768,0.880632,0.786068,0.805685,0.773392,0.839687,0.795047,0.823159,0.851282,0.815473,0.821048,0.814120,0.802815,0.911823,0.786985,0.860104,0.799870,0.764533,0.837585,0.856589,0.829646,0.834782,0.842125,0.818494,0.776025,0.778934,0.801813,0.810408,0.787983,0.792099,0.770941,0.823342,0.827612,0.793032,0.801697,0.910503,0.828056,0.871432,0.803293,0.776714,0.790266,0.785858,0.754126,0.789432,0.769584,0.766222,0.754707,0.781265,0.785028,0.799988,0.768081,0.784291,0.745665,0.725933,0.764914,0.779343,0.737292,0.796440,0.764497,0.763410,0.741366,0.782272,0.757044,0.819544,0.836572,0.825606,0.802697,0.831488,0.760275,0.728326,0.855762,0.891282,0.859246,0.849136,0.849732,0.883321,0.855717,0.804381,0.753954,0.773857,0.801023,0.795961,0.794371,0.766541,0.785007,0.784389,0.776826,0.784732,0.787232,0.826282,0.761171,0.785055,0.767998,0.797156,0.791527,0.790060,0.795769,0.769595,0.768014,0.808627,0.782886,0.759199,0.777125,0.779847,0.765209,0.722742,0.749224,0.806670,0.783076,0.770519,0.753825,0.756410,0.771011,0.772057,0.774816,0.772444,0.808716,0.779455,0.760626,0.789761,0.831887,0.805053,0.810087,0.749342,0.750751,0.793900,0.790416,0.799560,0.790787,0.772373
7,Rhinoceros Auklet,0,0.928884,0.924114,0.916713,0.846996,0.951020,0.919851,0.934914,1.000000,0.867906,0.828046,0.854850,0.809861,0.829486,0.775935,0.773707,0.769289,0.763817,0.799184,0.831365,0.795457,0.820222,0.817595,0.936458,0.921592,0.933849,0.841503,0.847877,0.795013,0.850864,0.866060,0.813648,0.820807,0.837371,0.834750,0.769509,0.777266,0.807615,0.797442,0.804298,0.835702,0.795479,0.773371,0.809708,0.902473,0.928567,0.879395,0.766251,0.765490,0.859943,0.893616,0.887905,0.909249,0.880604,0.775078,0.810141,0.774389,0.810618,0.948628,0.897424,0.904563,0.908092,0.904400,0.870365,0.891732,0.923657,0.905605,0.793731,0.794367,0.780689,0.763351,0.910969,0.922367,0.793666,0.822684,0.778346,0.827876,0.805673,0.829804,0.859181,0.820791,0.825582,0.829649,0.810941,0.911240,0.795159,0.910611,0.852699,0.773212,0.870406,0.900289,0.838266,0.848009,0.843442,0.821789,0.783007,0.783618,0.810364,0.812462,0.785308,0.851445,0.824885,0.809374,0.835767,0.782881,0.810888,0.938574,0.848474,0.882648,0.798394,0.792992,0.808325,0.792060,0.749415,0.790836,0.773933,0.781664,0.768781,0.792773,0.782266,0.796183,0.765101,0.795409,0.751811,0.750548,0.772691,0.786418,0.750908,0.812736,0.776288,0.768712,0.746255,0.797261,0.780873,0.814884,0.850106,0.847787,0.819414,0.822606,0.757192,0.731034,0.849836,0.886407,0.874022,0.843255,0.871268,0.887035,0.887808,0.805298,0.775202,0.778005,0.795012,0.789166,0.795461,0.771206,0.784752,0.790369,0.778391,0.780432,0.783702,0.809235,0.778551,0.790835,0.778643,0.798383,0.778221,0.793486,0.796135,0.769968,0.771183,0.808417,0.773481,0.757733,0.777979,0.778950,0.766685,0.740315,0.758207,0.814704,0.790298,0.772661,0.763924,0.767140,0.785734,0.785665,0.772585,0.787225,0.800021,0.781980,0.751274,0.798653,0.803913,0.773876,0.811654,0.769823,0.783820,0.794178,0.798854,0.793290,0.787645,0.783650
8,Brewer Blackbird,0,0.801443,0.816763,0.844973,0.944438,0.885311,0.882365,0.864926,0.867906,1.000000,0.941780,0.960225,0.890636,0.918999,0.901600,0.868325,0.878130,0.850192,0.866557,0.941043,0.873085,0.910005,0.853283,0.895731,0.880475,0.888926,0.973805,0.980641,0.843084,0.961321,0.969540,0.868489,0.865351,0.866170,0.891253,0.855225,0.855447,0.860050,0.864131,0.859587,0.883328,0.842014,0.879142,0.866563,0.869994,0.834731,0.799694,0.825596,0.789304,0.979464,0.811759,0.795019,0.815747,0.786754,0.896012,0.867351,0.857513,0.880149,0.894344,0.832939,0.840954,0.850125,0.841937,0.843836,0.840944,0.838861,0.831934,0.877895,0.860788,0.856303,0.870745,0.862866,0.854353,0.876012,0.916203,0.878300,0.898500,0.880699,0.886389,0.881713,0.857438,0.836551,0.853554,0.828038,0.837992,0.834379,0.815680,0.808540,0.833563,0.817484,0.785957,0.912565,0.881049,0.914134,0.878222,0.880146,0.875367,0.922879,0.903301,0.845115,0.790381,0.749917,0.855744,0.914113,0.832564,0.846907,0.816160,0.938924,0.897488,0.882979,0.857578,0.869409,0.835810,0.780421,0.862405,0.822497,0.811230,0.804214,0.851375,0.818397,0.872704,0.816014,0.827346,0.797226,0.799646,0.843481,0.830920,0.791922,0.845354,0.831754,0.796992,0.809104,0.818103,0.824607,0.940127,0.876684,0.900738,0.873667,0.888036,0.855399,0.839056,0.818031,0.913323,0.815891,0.797704,0.806993,0.842697,0.825883,0.865116,0.865671,0.866462,0.846899,0.860452,0.860045,0.832710,0.830179,0.851405,0.844013,0.848412,0.843077,0.905197,0.847567,0.861548,0.846254,0.869848,0.815573,0.838981,0.854306,0.852138,0.845704,0.876022,0.829286,0.832922,0.864967,0.837997,0.854491,0.817349,0.853645,0.865921,0.843928,0.853389,0.798737,0.845131,0.851378,0.822889,0.817555,0.861692,0.863355,0.823598,0.815648,0.838200,0.884681,0.838078,0.867679,0.838490,0.831665,0.876430,0.832244,0.857089,0.857000,0.856535
9,Red winged Blackbird,0,0.761319,0.787949,0.794602,0.914899,0.859588,0.827122,0.833145,0.828046,0.941780,1.000000,0.934395,0.935712,0.926166,0.888528,0.885905,0.905150,0.889159,0.850222,0.909463,0.907495,0.926349,0.836019,0.863681,0.881288,0.867560,0.947847,0.937759,0.842462,0.908158,0.925109,0.858943,0.870441,0.865583,0.880096,0.877223,0.871635,0.855479,0.866851,0.855131,0.873314,0.862550,0.929665,0.866806,0.861759,0.782767,0.785329,0.865142,0.838972,0.941394,0.818532,0.808046,0.798702,0.805164,0.900343,0.894092,0.883669,0.927529,0.849329,0.792565,0.789219,0.810655,0.801720,0.796027,0.794762,0.791472,0.789527,0.872606,0.863755,0.866140,0.851041,0.836108,0.817554,0.861273,0.892050,0.877817,0.880996,0.885681,0.868587,0.884098,0.872776,0.845717,0.876530,0.839588,0.797221,0.852637,0.792597,0.799083,0.871278,0.822377,0.802462,0.889362,0.858549,0.864585,0.878223,0.931154,0.921951,0.951878,0.931092,0.845438,0.789776,0.766930,0.848686,0.891878,0.812635,0.826696,0.813616,0.890364,0.863441,0.929266,0.842342,0.860594,0.826221,0.797388,0.865824,0.827366,0.823209,0.820771,0.856344,0.825128,0.860583,0.824555,0.835977,0.820463,0.833157,0.825330,0.862506,0.803720,0.856868,0.836475,0.820849,0.812014,0.832503,0.821894,0.907542,0.854650,0.906391,0.884173,0.866001,0.908825,0.872742,0.811115,0.864943,0.841461,0.812583,0.826299,0.846124,0.825337,0.871229,0.856580,0.847257,0.858706,0.853549,0.854361,0.832930,0.826566,0.859572,0.857466,0.891145,0.849257,0.887753,0.883241,0.876455,0.880464,0.860869,0.868700,0.875278,0.878542,0.871933,0.876612,0.877302,0.864115,0.859505,0.857693,0.870965,0.866659,0.851847,0.875353,0.852491,0.841718,0.878564,0.813867,0.860451,0.830114,0.805503,0.834791,0.864700,0.872272,0.872800,0.862141,0.841744,0.907459,0.876226,0.849244,0.833234,0.828364,0.853673,0.842883,0.841318,0.824495,0.881933
10,Rusty Blackbird,0,0.805379,0.802490,0.832954,0.926581,0.857064,0.870786,0.838574,0.854850,0.960225,0.934395,1.000000,0.903390,0.926203,0.897308,0.898338,0.882025,0.857086,0.885224,0.945761,0.907928,0.938158,0.885012,0.876440,0.860707,0.879371,0.943854,0.955882,0.896724,0.915967,0.927648,0.914490,0.903748,0.905042,0.926889,0.886290,0.898540,0.902512,0.914600,0.906201,0.924260,0.887519,0.901789,0.908304,0.846112,0.827088,0.840984,0.838483,0.827001,0.954959,0.842817,0.836990,0.846844,0.808771,0.908699,0.888392,0.897134,0.879761,0.875359,0.811196,0.827159,0.837224,0.823979,0.836903,0.827554,0.829500,0.799736,0.886025,0.864901,0.880579,0.854408,0.860223,0.850776,0.877341,0.925460,0.866090,0.908485,0.902441,0.907883,0.898687,0.881104,0.851832,0.886888,0.838627,0.810498,0.867973,0.837015,0.798670,0.862049,0.835306,0.816468,0.943673,0.912177,0.896688,0.893471,0.887621,0.879115,0.945221,0.911780,0.901288,0.779055,0.753115,0.903610,0.935863,0.892490,0.867613,0.792919,0.880604,0.859972,0.906852,0.871726,0.892004,0.860807,0.827490,0.875422,0.873069,0.860461,0.865338,0.892828,0.870470,0.916273,0.852311,0.871457,0.840211,0.858572,0.894605,0.900146,0.839722,0.900779,0.883880,0.869196,0.857262,0.844289,0.872489,0.898025,0.897830,0.896368,0.903401,0.858637,0.873676,0.857635,0.791938,0.900192,0.805080,0.792226,0.802420,0.831608,0.813373,0.907820,0.922415,0.916852,0.882797,0.902475,0.893324,0.885502,0.887163,0.901618,0.884776,0.902383,0.870946,0.914012,0.878736,0.889265,0.874289,0.882176,0.859145,0.851803,0.866865,0.868032,0.879582,0.893940,0.863578,0.876134,0.897294,0.885088,0.886269,0.851892,0.867537,0.898198,0.894001,0.875037,0.854714,0.863920,0.897529,0.876975,0.857000,0.889870,0.883888,0.849891,0.853339,0.851974,0.883025,0.843565,0.918792,0.881371,0.893487,0.931985,0.889417,0.898154,0.904043,0.868600
